20,1812357,1812380,24,447.4,390.2,512.4,409.6,1.78,118
20,1812539,1812707,169,498.3,419.8,472.4,531.6,3.03,729
20,1812862,1812886,25,489.9,461.6,542.2,386.6,2.42,210
20,1813128,1813135,8,535.5,394.8,530.2,405.4,0.31,45
21,1819065,1819447,383,.,.,569.8,467.1,3.6e+006,472
21,1819643,1819658,16,580.6,386.0,559.5,391.3,0.57,47
21,1819820,1819830,11,569.5,407.5,563.2,384.2,0.64,66
22,1826361,1826612,252,539.5,371.8,538.7,462.2,2.40,1136
22,1829810,1829816,7,515.2,413.1,508.6,422.3,0.30,43
22,1831508,1831515,8,538.4,406.3,527.1,398.4,0.36,48
23,1833969,1834185,217,553.0,379.5,552.9,441.9,1.66,992
23,1834408,1834415,8,566.6,381.0,558.7,391.1,0.34,44
24,1840651,1840900,250,554.1,405.3,556.8,471.9,1.77,760
24,1841267,1841277,11,569.3,405.1,547.1,408.7,0.59,61
24,1842034,1842220,187,514.3,418.5,489.9,467.7,1.45,1284
24,1843255,1843453,199,496.6,425.3,489.5,467.5,1.13,1312
25,1847934,1848145,212,527.6,411.7,513.7,477.7,1.79,564
25,1848661,1848668,8,536.8,407.3,528.3,414.1,0.29,40
25,1848740,1848977,238,528.6,415.5,511.6,430.8,0.60,1402
25,1849075,1849084,10,521.2,389.5,508.1,403.4,0.50,58
25,1850543,1850548,6,511.4,418.2,502.4,414.1,0.26,40
25,1851562,1851755,194,529.3,424.5,514.1,474.1,1.37,1365
26,1855792,1855806,15,534.3,416.0,504.9,396.1,0.93,79
26,1855947,1855958,12,502.8,395.9,526.8,400.4,0.64,65
26,1856535,1856770,236,525.3,418.0,516.9,493.4,2.01,1319
26,1860408,1860587,180,522.2,420.7,499.5,478.0,1.63,1387
27,1862968,1863193,226,519.0,412.6,522.4,469.7,1.52,1046
27,1863824,1864105,282,514.7,430.5,481.7,485.1,1.69,1239
27,1864649,1864885,237,511.6,428.6,471.8,503.3,2.24,1163
27,1865111,1865116,6,487.1,431.0,488.3,422.3,0.23,38
27,1865735,1865964,230,497.9,423.7,502.8,472.1,1.29,1370
27,1866062,1866069,8,525.2,407.5,511.4,413.7,0.40,53
28,1869794,1870053,260,533.1,405.2,527.7,453.6,1.29,975
28,1870467,1870476,10,544.2,404.9,531.6,416.0,0.44,49
28,1870803,1871067,265,515.9,418.1,507.0,454.8,1.00,1290
29,1877878,1877889,12,537.3,417.4,512.0,420.7,0.67,69
29,1878106,1878306,201,509.6,423.6,485.7,476.7,1.54,1272
29,1879839,1880060,222,517.7,420.1,501.0,501.6,2.20,1373
30,1886311,1886537,227,516.0,422.8,506.8,453.7,0.85,1300
30,1887727,1888000,274,517.8,413.9,501.7,456.1,1.20,1307
31,1891154,1891423,270,528.8,409.1,534.2,479.3,1.86,1337
31,1891831,1892158,328,537.4,427.0,486.9,447.3,1.43,1228
31,1892327,1892334,8,503.1,406.9,515.1,407.2,0.32,41
31,1892384,1892392,9,508.7,411.8,495.0,412.5,0.36,44
31,1893376,1893621,246,485.8,425.3,469.2,536.1,2.96,1190
31,1893733,1893740,8,500.7,438.7,492.6,428.9,0.34,45
32,1898343,1898618,276,510.4,437.7,486.0,513.3,2.10,1087
32,1898668,1898689,22,489.4,468.8,503.9,413.7,1.51,128
32,1898915,1899175,261,496.7,424.9,466.9,468.6,1.40,1177
32,1899288,1899294,7,480.1,433.7,490.3,427.9,0.31,46
32,1900650,1900845,196,475.5,423.6,457.2,452.4,0.90,1168
32,1901031,1901038,8,475.9,430.9,486.6,428.3,0.29,40
33,1904857,1905311,455,484.6,421.8,571.3,405.2,2.32,1042
33,1905463,1905483,21,544.1,397.6,484.2,402.8,1.58,132
33,1905682,1905688,7,498.2,418.6,507.9,418.6,0.25,40
33,1906204,1906462,259,496.6,429.5,479.6,476.6,1.33,1314
33,1907311,1907571,261,506.1,417.2,463.2,511.7,2.74,1268
33,1907681,1907689,9,492.8,427.1,509.4,422.5,0.45,55
33,1908495,1908706,212,509.6,431.2,472.9,548.4,3.25,1283
33,1908968,1908976,9,513.9,429.2,522.5,416.4,0.41,47
33,1909180,1909187,8,523.9,422.8,516.2,433.6,0.35,48
33,1909502,1909508,7,518.5,433.0,521.2,422.5,0.29,41
34,1912587,1912897,311,536.0,421.3,535.0,474.2,1.40,973
34,1913040,1913047,8,543.8,432.6,536.6,423.4,0.31,43
34,1913687,1913962,276,511.5,422.4,491.8,482.5,1.67,1058
35,1919673,1919975,303,534.9,417.0,548.7,448.1,0.90,954
35,1920321,1920340,20,563.5,379.0,522.3,410.6,1.37,110
35,1920575,1920857,283,517.6,423.3,504.0,425.8,0.36,1110
35,1921071,1921332,262,500.5,422.9,487.3,451.0,0.82,1350
35,1921816,1922098,283,486.2,425.4,474.3,475.2,1.36,1383
35,1923199,1923205,7,496.8,424.2,508.7,424.6,0.31,48
35,1923829,1924102,274,512.9,432.3,493.3,469.2,1.11,1359
36,1927351,1927363,13,531.4,432.1,530.5,418.6,0.36,39
36,1927726,1927950,225,531.4,417.2,508.6,516.4,2.69,896
36,1928137,1928143,7,529.5,427.9,533.5,418.7,0.27,40
36,1929158,1929421,264,508.9,421.0,491.3,450.3,0.90,1285
36,1929501,1929508,8,508.4,406.3,518.2,411.5,0.29,41
36,1931106,1931301,196,511.4,422.6,477.3,542.3,3.29,1467
36,1932930,1932958,29,515.1,421.0,425.7,373.7,2.66,153
37,1933750,1934088,339,.,.,525.1,452.6,3.6e+006,298
37,1934243,1934503,261,538.3,420.2,554.8,515.2,2.55,1037
37,1934554,1934573,20,563.5,470.4,519.9,434.9,1.48,118
37,1934786,1934792,7,512.5,436.9,508.0,427.3,0.28,40
37,1935430,1935686,257,486.0,429.8,461.5,502.6,2.03,1262
37,1936026,1936032,7,486.6,428.2,494.6,421.8,0.27,41
37,1936333,1936340,8,488.4,426.1,479.1,431.0,0.28,39
37,1936692,1936943,252,479.3,431.7,473.8,478.4,1.25,1274
37,1939657,1939682,26,526.5,429.7,427.0,429.2,2.61,179
37,1939986,1940009,24,440.1,433.5,508.6,412.0,1.88,173
37,1940213,1940227,15,502.0,411.1,534.8,416.5,0.87,80
38,1941378,1941674,297,518.6,413.7,528.5,461.6,1.30,1044
38,1941770,1941785,16,543.0,395.0,515.4,411.7,0.85,71
38,1942493,1942772,280,496.5,429.8,467.5,500.0,2.01,1254
38,1943851,1943857,7,509.3,420.7,499.5,420.4,0.26,38
38,1943956,1944227,272,506.1,424.8,479.8,548.6,3.35,1889
38,1944458,1944464,7,516.5,420.9,526.4,420.6,0.26,40
38,1944789,1945111,323,514.1,426.0,466.4,470.8,1.72,1200
38,1945216,1945226,11,475.0,443.7,492.8,428.7,0.61,63
38,1945548,1945804,257,496.6,420.8,472.0,493.7,2.04,1189
39,1948721,1948977,257,507.2,412.7,476.0,409.8,0.82,910
39,1949178,1949202,25,484.6,375.2,531.0,429.2,1.88,189
39,1949443,1949449,7,512.2,428.7,501.3,428.2,0.29,41
39,1950067,1950320,254,492.0,416.7,489.2,494.2,2.05,1264
39,1951367,1951606,240,504.4,421.1,504.9,481.1,1.59,1267
39,1952358,1952365,8,520.1,421.2,530.2,414.1,0.33,44
39,1952560,1952567,8,519.7,413.8,508.4,419.0,0.33,44
39,1953038,1953314,277,517.5,426.3,503.5,512.3,2.31,1287
40,1956304,1956325,22,515.1,459.4,513.5,415.7,1.16,120
40,1956894,1957166,273,511.8,428.7,478.3,540.1,3.08,1232
40,1957346,1957705,360,503.3,427.0,499.2,478.1,1.36,1002
40,1957818,1957840,23,504.9,457.9,511.1,415.3,1.14,116
40,1957939,1958145,207,506.1,423.0,490.5,437.0,0.55,1441
40,1958300,1958502,203,478.8,426.3,485.1,444.0,0.50,1332
40,1958682,1958692,11,488.7,441.3,482.7,423.3,0.50,55
40,1959146,1959378,233,473.5,430.1,442.7,531.1,2.79,1215
41,1962842,1963128,287,510.5,415.6,501.1,521.0,2.80,918
41,1963433,1963442,10,534.0,380.1,521.6,392.3,0.46,52
41,1963731,1963975,245,501.6,408.2,483.2,457.1,1.38,1335
41,1964146,1964151,6,489.9,406.9,484.2,411.3,0.19,35
42,1969937,1970196,260,519.2,410.5,502.9,507.7,2.61,800
42,1970377,1970382,6,524.3,408.0,527.0,414.9,0.20,35
42,1970800,1971085,286,525.8,422.5,484.4,445.7,1.25,1363
42,1971187,1971194,8,493.0,408.3,505.6,412.7,0.35,48
42,1972061,1972306,246,497.8,421.1,495.4,422.9,0.08,1410
43,1976895,1976911,17,527.8,411.1,498.7,424.9,0.85,74
43,1977067,1977077,11,506.7,438.0,522.7,426.2,0.52,57
44,1984265,1984279,15,533.3,404.7,501.2,416.6,0.90,79
44,1984446,1984457,12,498.9,422.1,522.3,424.1,0.62,55
44,1985011,1985267,257,490.8,435.3,461.8,515.9,2.27,1270
44,1985438,1985446,9,487.5,418.5,474.1,420.4,0.36,42
44,1985509,1985527,19,472.8,421.8,521.7,429.9,1.30,100
44,1985653,1985663,11,520.2,429.3,496.7,425.4,0.63,66
44,1986047,1986052,6,498.2,434.0,490.8,432.3,0.20,38
44,1989037,1989043,7,505.2,423.6,500.2,432.1,0.26,38
45,1991546,1991855,310,508.2,430.0,519.0,486.8,1.53,866
45,1992950,1992957,8,492.9,424.2,479.1,424.8,0.36,48
45,1993097,1993103,7,487.7,422.4,497.3,418.9,0.27,40
46,1998791,1999127,337,533.6,419.2,510.0,523.7,2.84,655
46,1999263,1999279,17,537.9,406.2,520.4,437.9,0.96,91
46,1999530,1999535,6,521.5,429.6,512.5,430.0,0.24,38
46,2001672,2001680,9,504.8,433.7,518.3,440.1,0.39,47
46,2002350,2002359,10,509.0,433.0,523.4,444.5,0.49,55
46,2002483,2002492,10,519.0,441.6,509.9,427.9,0.43,50
47,2005617,2005911,295,516.6,421.4,493.4,492.5,1.98,874
47,2006293,2006299,7,507.4,424.3,517.0,426.2,0.26,38
47,2006996,2007285,290,478.6,431.8,469.8,493.1,1.64,1156
47,2008751,2008757,7,495.5,434.8,504.5,431.7,0.25,38
48,2013352,2013367,16,482.2,436.0,478.3,419.3,0.45,47
48,2013553,2013559,7,488.3,428.2,499.4,427.9,0.29,44
48,2013778,2013785,8,491.9,427.8,481.7,434.9,0.33,44
48,2013999,2014305,307,489.0,430.7,498.0,473.5,1.16,1357
48,2014669,2014675,7,507.3,431.9,498.6,438.0,0.28,42
48,2015698,2015974,277,483.4,428.2,486.3,415.5,0.35,1197
49,2019860,2020127,268,490.6,420.3,473.7,493.6,1.99,1323
49,2020346,2020363,18,501.7,419.8,540.4,440.7,1.16,100
49,2020508,2020517,10,525.2,440.7,506.0,434.4,0.53,60
49,2020678,2020954,277,492.9,438.3,462.1,511.9,2.11,1168
49,2021749,2021756,8,478.4,431.6,487.1,423.5,0.31,42
49,2021788,2022093,306,484.8,425.5,445.5,525.3,2.83,1244
49,2022378,2022716,339,498.7,426.2,476.8,539.0,3.04,1218
49,2022906,2022913,8,503.6,424.8,491.1,424.3,0.33,45
50,2028487,2028742,256,492.4,423.2,506.2,484.4,1.66,1282
51,2035738,2035984,247,504.9,430.4,504.9,496.5,1.75,1295
51,2036158,2036169,12,514.6,436.6,498.7,423.9,0.54,57
51,2037877,2037884,8,510.1,435.6,497.8,431.6,0.34,46
51,2038048,2038053,6,501.3,437.7,509.7,436.5,0.22,38
52,2041581,2041631,51,518.0,391.4,450.9,444.0,2.25,109
52,2041779,2041800,22,444.2,445.7,505.8,426.4,1.69,140
52,2043063,2043320,258,478.8,426.4,460.9,478.7,1.46,1235
52,2043488,2043497,10,482.9,428.6,496.6,429.1,0.36,41
52,2044853,2044867,15,513.0,431.0,481.1,417.0,0.92,77
52,2044927,2044949,23,485.6,424.2,552.6,430.9,1.77,133
