14,9230165,9231802,1638,506.7,406.0,2178
15,9232554,9236438,3885,508.2,409.4,2019
15,9236590,9238560,1971,515.3,424.3,1642
15,9238578,9238678,101,506.5,396.6,2088
15,9238691,9238836,146,523.6,396.5,2127
15,9239028,9239297,270,515.3,395.6,2095
16,9239882,9240714,833,526.4,398.1,2501
16,9240937,9242223,1287,498.2,412.4,2297
16,9242407,9242483,77,565.2,461.7,2293
16,9242501,9243903,1403,518.1,415.3,2518
16,9244105,9244429,325,498.1,419.1,2302
16,9244445,9245799,1355,501.7,403.6,2175
16,9245826,9245957,132,589.7,357.9,2211
16,9246216,9246550,335,508.2,412.4,2228
17,9247131,9247939,809,505.0,414.4,2244
17,9247949,9249717,1769,501.4,399.0,2128
17,9249925,9252815,2891,499.6,403.0,2066
17,9252965,9254304,1340,515.0,420.3,1551
18,9254886,9255761,876,516.1,399.9,2253
18,9255769,9255903,135,518.7,391.2,2225
18,9256075,9256100,26,550.0,485.4,1886
18,9256130,9257344,1215,517.2,412.9,1828
18,9257364,9259650,2287,502.3,398.1,2238
18,9259855,9259898,44,530.1,469.2,2318
18,9259922,9259989,68,491.9,399.3,2362
18,9259997,9261807,1811,505.2,411.4,2109
19,9262388,9262835,448,523.1,408.9,2407
19,9263028,9263082,55,585.5,496.8,2048
19,9263118,9263209,92,542.1,419.6,2141
19,9263233,9266059,2827,507.5,402.3,2312
19,9266265,9266358,94,538.7,467.5,2587
19,9266370,9268412,2043,520.1,393.3,2771
19,9268632,9269560,929,520.5,407.3,2517
20,9304246,9305042,797,531.6,393.9,2341
20,9305063,9305251,189,517.7,422.8,2547
20,9305416,9307592,2177,515.1,425.7,2386
20,9307794,9308008,215,512.0,407.1,2202
20,9308028,9309646,1619,516.7,417.4,2257
20,9309854,9311162,1309,511.4,418.7,2099
21,9311745,9312429,685,522.4,409.5,2478
21,9312639,9312647,9,572.9,476.7,2087
21,9312667,9312771,105,523.5,404.5,2237
21,9312790,9315806,3017,514.4,414.8,2101
21,9315813,9316043,231,510.3,405.5,2014
21,9316222,9316441,220,506.8,414.0,1815
21,9316458,9318882,2425,510.9,409.1,2092
22,9319471,9320005,535,510.5,415.6,2167
22,9320244,9320364,121,521.9,417.9,1976
22,9320381,9324427,4047,514.1,406.6,2181
22,9324604,9326035,1432,515.2,409.3,1870
23,9326618,9327407,790,523.4,406.2,2423
23,9327425,9327794,370,514.6,401.7,2328
23,9328039,9331330,3292,507.8,403.3,2081
23,9331541,9332548,1008,513.6,392.8,1943
23,9332572,9332678,107,442.2,400.0,2117
23,9332907,9333094,188,500.6,386.2,2256
23,9333103,9333288,186,520.0,397.7,2332
24,9333870,9334301,432,512.7,407.0,2388
24,9334509,9334684,176,515.5,387.0,2056
24,9334705,9337913,3209,497.9,405.3,2159
24,9338087,9340541,2455,494.1,409.7,2082
25,9341433,9341874,442,521.1,417.0,1926
25,9341890,9343695,1806,503.3,403.8,1990
25,9343883,9346719,2837,496.6,404.4,1883
25,9346902,9348178,1277,489.1,398.2,1901
26,9349039,9349063,25,569.6,549.9,1753
26,9349103,9349524,422,523.6,412.8,1991
26,9349545,9352343,2799,497.1,407.1,1853
26,9352366,9352555,190,462.1,384.3,1774
26,9352753,9355431,2679,502.3,405.2,1872
27,9356016,9357027,1012,502.6,409.4,2013
27,9357259,9357767,509,503.8,404.9,1948
27,9357781,9357988,208,485.9,404.4,1728
27,9358000,9360271,2272,503.5,408.3,1567
27,9360437,9362934,2498,507.6,401.0,1735
28,9363521,9364421,901,518.1,402.6,2118
28,9364659,9367053,2395,501.0,401.1,1839
28,9367274,9370187,2914,509.1,411.4,1638
29,9370771,9371897,1127,506.7,414.0,1810
29,9372091,9372632,542,510.1,404.3,1561
29,9372651,9375429,2779,501.2,410.6,1585
29,9375634,9377714,2081,509.2,404.0,1673
30,9378300,9378702,403,501.1,409.7,1819
30,9378927,9379094,168,519.7,413.0,1582
30,9379110,9381461,2352,506.7,414.8,1568
30,9381650,9385183,3534,506.7,411.3,1506
31,9386191,9386523,333,541.3,401.3,1659
31,9386542,9388978,2437,514.2,411.7,1572
31,9389167,9392497,3331,516.0,425.2,1186
32,9393077,9393706,630,515.6,417.4,1519
32,9393949,9394059,111,538.6,417.2,1295
32,9394078,9394254,177,528.4,420.1,1367
32,9394274,9395525,1252,514.4,414.3,1522
32,9395549,9395702,154,537.5,403.9,1628
32,9395722,9398719,2998,519.3,401.5,1802
32,9398915,9399750,836,504.0,418.8,1788
33,9400333,9402272,1940,516.1,413.5,1864
33,9402481,9402696,216,503.1,415.6,1724
33,9402713,9403379,667,501.6,400.3,1701
33,9403397,9405802,2406,504.4,403.8,1738
33,9405997,9407387,1391,504.2,406.4,1619
34,9407980,9408512,533,488.1,410.0,1978
34,9408821,9408895,75,549.9,375.8,1850
34,9408919,9409208,290,505.9,377.4,1965
34,9409225,9410530,1306,491.7,410.7,1967
34,9410701,9414659,3959,504.4,407.7,1783
35,9415373,9419067,3695,508.0,413.8,1614
35,9419225,9422043,2819,514.7,419.4,1389
36,9422732,9423812,1081,510.8,407.4,1703
36,9424029,9425283,1255,519.6,407.0,1554
36,9425292,9426100,809,506.6,401.8,1652
36,9426109,9428256,2148,520.9,413.8,1426
37,9430396,9430826,431,517.0,410.9,1595
37,9431073,9431233,161,532.8,426.1,1454
37,9431256,9434054,2799,514.6,414.1,1562
37,9434246,9436105,1860,516.2,420.2,1357
37,9436339,9437567,1229,504.1,421.2,1511
38,9438276,9439523,1248,502.8,428.9,1652
38,9439722,9440971,1250,518.1,422.4,1514
38,9441001,9441115,115,489.7,403.3,1669
38,9441138,9441240,103,518.9,404.8,1694
38,9441446,9441674,229,522.5,422.5,1543
38,9441686,9445203,3518,508.6,411.5,1542
39,9446310,9446630,321,593.6,464.9,1507
39,9446695,9447306,612,959.3,529.5,1761
39,9447365,9447472,108,519.3,442.2,1830
39,9447485,9447693,209,509.3,419.6,1781
39,9447862,9448954,1093,509.5,421.1,1588
39,9448972,9452840,3869,507.3,412.1,1564
40,9453701,9454269,569,524.5,430.0,1552
40,9454281,9456082,1802,509.3,418.3,1350
40,9456273,9456764,492,511.8,416.3,1214
40,9456785,9460280,3496,500.7,417.4,1375
