103,9928441,9928542,102
104,9932962,9933098,137
104,9935075,9935194,120
104,9936404,9936506,103
105,9941663,9941780,118
105,9944299,9944395,97
105,9946279,9946280,2
106,9949236,9949549,314
107,9956927,9957006,80
107,9958913,9959047,135
108,9962169,9962335,167
108,9966186,9966334,149
109,9970113,9970261,149
109,9973205,9973340,136
110,9980650,9981341,692
111,9985009,9985799,791
111,9988102,9988162,61
111,9989780,9989929,150
111,9991128,9991129,2
112,9993938,9994048,111
112,9994071,9994077,7
112,9997662,9997769,108
113,10000580,10000679,100
113,10003157,10003223,67
114,10010855,10010946,92
115,10016637,10016714,78
116,10022541,10022763,223
116,10022854,10022854,1
116,10023977,10024101,125
116,10026809,10026915,107
117,10029189,10029310,122
117,10030953,10031360,408
117,10032588,10032589,2
117,10033039,10033105,67
117,10033878,10034215,338
117,10034767,10034767,1
118,10036437,10036582,146
118,10038061,10038358,298
118,10038612,10038614,3
118,10040075,10040297,223
119,10044214,10044357,144
119,10046942,10047054,113
120,10051000,10051483,484
120,10052711,10052783,73
120,10053810,10054152,343
120,10054219,10054219,1
120,10054294,10054513,220
121,10061208,10061373,166
121,10062942,10063064,123
122,10068078,10068380,303
122,10069993,10070267,275
123,10077892,10078137,246
124,10081317,10081639,323
124,10083334,10083642,309
124,10085492,10085696,205
125,10088739,10088931,193
125,10091709,10091765,57
125,10093044,10093136,93
126,10099701,10099772,72
127,10104560,10104648,89
127,10109407,10109457,51
128,10112698,10112798,101
128,10115380,10115474,95
129,10119203,10119281,79
129,10122385,10122502,118
130,10128000,10128101,102
131,10133276,10133395,120
131,10136140,10136225,86
131,10137908,10138278,371
132,10142752,10142823,72
132,10146648,10146730,83
133,10149700,10149828,129
133,10153117,10153243,127
134,10157572,10157670,99
134,10160051,10160145,95
135,10168023,10168152,130
136,10171544,10171651,108
136,10174485,10174564,80
136,10177190,10177276,87
137,10180092,10180202,111
137,10183680,10183792,113
138,10188467,10188545,79
138,10191852,10191931,80
139,10194068,10194179,112
139,10196030,10196123,94
139,10199128,10199197,70
140,10203242,10203342,101
140,10206013,10206106,94
141,10208301,10208408,108
141,10211229,10211309,81
141,10213845,10213934,90
142,10216003,10216114,112
142,10218638,10218755,118
143,10225549,10225666,118
143,10228687,10228792,106
144,10231833,10231965,133
144,10233961,10234148,188
144,10236536,10236624,89
145,10238573,10238671,99
145,10240461,10240575,115
145,10243010,10243144,135
146,10248080,10248203,124
146,10250926,10251039,114
147,10255577,10255684,108
148,10262316,10262458,143
148,10264497,10264632,136
149,10269478,10269622,145
149,10270543,10270716,174
149,10272148,10272267,120
150,10276552,10276611,60
150,10278752,10278845,94
151,10283144,10283240,97
151,10284879,10284967,89
151,10287288,10287357,70
152,10290501,10290622,122
152,10292815,10292894,80
152,10294982,10295055,74
153,10300216,10300276,61
153,10302650,10302713,64
154,10309155,10309228,74
154,10311744,10311848,105
155,10314551,10314626,76
155,10316442,10316487,46
155,10318427,10318484,58
156,10322484,10322582,99
156,10326449,10326504,56
157,10331588,10331658,71
158,10339796,10339847,52
159,10344582,10344674,93
159,10345894,10345966,73
159,10347215,10347279,65
159,10349675,10349724,50
160,10351839,10351937,99
160,10354401,10354488,88
161,10360869,10360962,94
161,10363285,10363365,81
162,10370318,10370412,95
163,10374074,10374161,88
163,10377170,10377257,88
164,10381006,10381108,103
164,10384931,10385031,101
165,10391707,10391800,94
166,10397125,10397230,106
166,10398316,10398429,114
167,10404964,10405075,112
168,10412954,10413082,129
169,10421088,10421214,127
170,10430426,10430552,127
171,10433074,10433191,118
171,10435834,10435919,86
172,10440384,10440507,124
172,10442238,10442370,133
172,10445942,10446039,98
173,10448414,10448524,111
173,10451885,10452002,118
174,10457420,10457524,105
174,10461199,10461293,95
175,10463164,10463300,137
175,10465595,10465698,104
175,10468621,10468722,102
176,10470547,10470695,149
176,10472677,10472797,121
176,10475074,10475181,108
177,10478725,10478863,139
177,10481434,10481515,82
178,10485272,10485386,115
178,10487191,10487254,64
178,10490400,10490520,121
179,10493225,10493324,100
179,10497738,10497849,112
180,10500329,10500439,111
180,10504303,10504394,92
181,10507239,10507359,121
181,10510758,10510863,106
182,10516570,10516682,113
183,10523623,10523743,121
184,10531286,10531436,151
184,10533025,10533072,48
184,10533301,10533340,40
185,10539603,10539707,105
186,10546032,10546127,96
187,10555218,10555296,79
188,10560656,10560767,112
188,10562528,10562625,98
188,10565091,10565195,105
189,10567252,10567362,111
189,10570356,10570456,101
190,10578259,10578381,123
191,10581483,10581617,135
191,10583770,10583908,139
191,10585720,10585843,124
192,10591006,10591094,89
192,10593375,10593479,105
193,10597753,10597854,102
193,10599826,10599874,49
193,10601680,10601782,103
194,10603815,10603916,102
194,10606079,10606158,80
194,10608961,10609044,84
195,10611482,10611574,93
195,10614924,10615021,98
196,10621193,10621309,117
196,10624221,10624325,105
197,10626474,10626563,90
197,10629460,10629565,106
197,10631971,10632032,62
198,10634355,10634464,110
198,10637727,10637786,60
198,10639397,10639466,70
199,10641847,10641942,96
199,10646012,10646109,98
200,10653140,10653267,128
201,10656147,10656302,156
201,10658690,10658791,102
201,10661761,10661873,113
202,10665175,10665340,166
202,10668007,10668092,86
203,10671666,10671813,148
203,10675453,10675543,91
204,10679466,10679595,130
204,10682114,10682234,121
205,10686666,10686790,125
205,10691749,10691839,91
206,10693769,10693860,92
206,10696967,10697077,111
207,10703805,10703918,114
208,10709797,10709942,146
208,10715038,10715124,87
209,10717205,10717345,141
209,10719236,10719367,132
210,10725491,10725619,129
210,10729029,10729160,132
211,10731025,10731165,141
211,10734094,10734226,133
212,10738719,10738815,97
212,10744259,10744344,86
213,10746711,10746854,144
213,10748215,10748417,203
213,10751006,10751096,91
214,10755238,10755314,77
215,10765123,10765218,96
216,10770974,10771055,82
217,10774881,10775031,151
217,10777750,10777872,123
218,10782264,10782399,136
218,10784638,10786140,1503
218,10787844,10787918,75
219,10791248,10791372,125
219,10793559,10793688,130
